symbol,tech_cluster,tech_type,vol,tail_1pct,skew,kurt,corr_to_mkt,beta_to_mkt,pc1_abs_loading,mom_7d,mom_30d,top_corr_peers,proxy_peer,proxy_hedge_ratio,proxy_spread_stability
VIRTUAL-USD,0,"low-vol, thin-tail, high-beta, pos-mom",0.011949087374945455,0.0672159158627218,0.9558664579873682,8.15612704247498,0.7910341846260829,1.4362633747311555,0.12729739572924575,0.0,0.2314653672119733,PENGU-USD:0.76;ONDO-USD:0.75;FET-USD:0.73,PENGU-USD,0.7334388618094342,0.41255431527618486
PENGU-USD,0,"low-vol, thin-tail, high-beta, pos-mom",0.010412513529627365,0.0589395317471894,0.05473023779623618,4.789726341605748,0.8976710172734257,1.4202895098171104,0.14504863185546885,0.0,0.12534191472244594,BONK-USD:0.85;FLOKI-USD:0.85;ONDO-USD:0.84,BONK-USD,1.0164434801322608,0.17280318243531598
PEPE-USD,0,"low-vol, thin-tail, high-beta, pos-mom",0.009978325313197424,0.05515742836783705,0.9189583146585234,9.222336862227808,0.7960917664183252,1.2070489652511334,0.12909611630894088,0.0,2.6645352591003757e-15,FLOKI-USD:0.81;SHIB-USD:0.80;PENGU-USD:0.79,FLOKI-USD,0.7541290349396762,0.41488826087566233
POL-USD,0,"low-vol, thin-tail, high-beta, pos-mom",0.009882238122957618,0.05767450192673441,1.1423421134700629,19.2469108615123,0.6842806085535285,1.0275279511787052,0.11065094459974324,0.0,0.15343915343915082,LINK-USD:0.63;ADA-USD:0.63;ARB-USD:0.63,LINK-USD,0.5015070322914723,0.7409897181169465
BONK-USD,0,"low-vol, thin-tail, high-beta, pos-mom",0.009789762517338606,0.05682497835987073,0.21863460741206434,8.378797498494002,0.839449313306764,1.2487362868891032,0.1358658601234966,0.0,-3.3306690738754696e-16,FLOKI-USD:0.87;PENGU-USD:0.85;SHIB-USD:0.80,FLOKI-USD,0.9502881995994994,0.13986593983167855
EIGEN-USD,0,"low-vol, thin-tail, high-beta, pos-mom",0.009742760240992979,0.05493082827205355,0.18011409429555256,6.187257915077694,0.8644201594744396,1.279708336066566,0.13915898582357866,0.0,-0.07500000000000184,ARB-USD:0.82;ENA-USD:0.82;PENGU-USD:0.81,ARB-USD,1.0593487110246151,0.11450864822230082
PENDLE-USD,0,"low-vol, thin-tail, high-beta, pos-mom",0.00962270702589731,0.0538735708178271,0.19661352457453493,5.925772697814818,0.8015965576562832,1.1720798615902597,0.12945719932559455,0.0,0.15281501340482495,LINK-USD:0.76;ONDO-USD:0.75;ADA-USD:0.74,LINK-USD,1.2619123475180174,0.21552540469279946
TAO-USD,0,"low-vol, thin-tail, high-beta, pos-mom",0.009368874097631966,0.05109436671472434,-0.050845894809879194,8.798563475531301,0.7734874652774938,1.1011456819102396,0.125144334034818,0.0,0.20778364116094994,ONDO-USD:0.73;ENA-USD:0.72;PENGU-USD:0.72,ONDO-USD,0.8504968705577101,0.39355748015355146
UNI-USD,0,"low-vol, thin-tail, high-beta, pos-mom",0.009281057464547661,0.05056786140398191,2.744776495350189,59.013444407255626,0.7267353497678055,1.024891389312446,0.11782754935040612,0.0,0.1824387216878658,LINK-USD:0.71;ETH-USD:0.68;ONDO-USD:0.68,LINK-USD,1.0976659238205264,0.3083125314093568
FET-USD,0,"low-vol, thin-tail, high-beta, pos-mom",0.009214066517661443,0.0514284074143814,-0.04346079259405186,8.680240394920972,0.865145226066884,1.2112797476126889,0.1397520233562002,0.0,-0.00444444444444092,NEAR-USD:0.81;ONDO-USD:0.81;ARB-USD:0.81,NEAR-USD,1.0087023785253662,0.36515467094538573
FIL-USD,0,"low-vol, thin-tail, high-beta, pos-mom",0.009143370158284503,0.05229142634353106,0.1267866711651978,9.016201383715563,0.8168548610261526,1.1348939921823882,0.13193681884099454,0.0,0.11172566371681425,ARB-USD:0.79;NEAR-USD:0.77;ADA-USD:0.77,ARB-USD,0.5700475545732835,0.29927126491592254
ENA-USD,0,"low-vol, thin-tail, high-beta, pos-mom",0.008831577932756074,0.048254929045140546,-0.09322542774356546,6.748173014940772,0.8999549329350954,1.207711396710049,0.14521606655957137,0.0,-0.10413080895008664,ONDO-USD:0.85;ARB-USD:0.85;ADA-USD:0.84,ONDO-USD,1.6116648657685324,0.21833871492942533
APT-USD,0,"low-vol, thin-tail, high-beta, pos-mom",0.008711094336365912,0.04800983614751783,-0.32088081728175993,6.016520837889155,0.8536003875285197,1.1298776491248874,0.13780531650403346,0.0,0.060639470782797966,ARB-USD:0.84;NEAR-USD:0.82;DOT-USD:0.82,ARB-USD,0.9268156834889415,0.15820697580435295
FLOKI-USD,0,"low-vol, thin-tail, high-beta, pos-mom",0.008687798534445994,0.04931145268026925,0.17711904354459126,6.823115861016724,0.8856018489562557,1.1691018642071807,0.14329445642615307,0.0,-0.05876393110435485,BONK-USD:0.87;SHIB-USD:0.87;PENGU-USD:0.85,BONK-USD,1.0317265007479122,0.13986593983170392
SUI-USD,0,"low-vol, thin-tail, high-beta, pos-mom",0.008503710843074644,0.05092356657386817,-0.2857026918254814,7.783145301358887,0.8980741500347519,1.1604455761569443,0.14571368933881257,0.0,-0.009532157335378821,ADA-USD:0.86;ONDO-USD:0.86;LINK-USD:0.85,ADA-USD,1.7008044654871348,0.20008845860145277
ARB-USD,0,"low-vol, thin-tail, high-beta, pos-mom",0.008452805185815357,0.04641283069182938,-0.6913445621200627,8.47832850508174,0.9075333748694083,1.1656483741435721,0.14657262013775077,0.0,-0.09363636363636241,LINK-USD:0.85;NEAR-USD:0.85;ENA-USD:0.85,LINK-USD,1.628125986919247,0.20209971840549146
