symbol,tech__vol,tech__skew,tech__kurt,tech__tail_1pct,tech__corr_to_mkt,tech__beta_to_mkt,tech__pc1_abs_loading,tech__mom_30d,fund__mcap_log,fund__fdv_log,fund__fdv_to_mcap,fund__n_categories
1000CHEEMS-USD,0.008400805718495608,-0.3957307522507731,5.4493875815219965,0.046894455798806814,0.5980429779573372,0.7634092777143622,0.09674263517173398,-0.19629629629629752,0.0,25.319831438539136,,2.0
AAVE-USD,0.007970600225011828,-0.582686643073934,9.485510721663333,0.04352311835350019,0.8119337852369319,0.9833672429984013,0.13192331131570037,0.008468468468469714,21.252105277864803,21.304449426114537,1.053738322350155,26.0
ADA-USD,0.007565280918223704,-0.10611542147305723,6.486963651693934,0.04415872053024831,0.9125550293121708,1.0490307510791057,0.14870135371010867,0.07374856706152211,22.999812766665148,23.19988354795232,1.2214892137019582,9.0
APT-USD,0.008711094336365912,-0.32088081728175993,6.016520837889155,0.04800983614751783,0.8536003875285197,1.1298776491248874,0.13780531650403346,0.060639470782797966,,,,
ARB-USD,0.008452805185815357,-0.6913445621200627,8.47832850508174,0.04641283069182938,0.9075333748694083,1.1656483741435721,0.14657262013775077,-0.09363636363636241,,,,
ASTER-USD,0.009237292721367618,-0.2803479611715237,8.002670895793825,0.0500924743452577,0.7165121509016341,1.0057090613679625,0.11474051358261161,0.004172461752432133,,,,
AVAX-USD,0.006894619451171535,-0.2718666794735432,9.471031684501291,0.039732523552342094,0.8818670680915389,0.9238841623208582,0.14353109901918992,0.04446978335233487,,,,
AVNT-USD,0.013214745377855365,1.4193628575895134,15.490711411303517,0.07708849365598272,0.4985611894235311,1.0011089970744875,0.07714739585214012,-0.07952796305797882,,,,
BIO-USD,0.011773450916344083,0.9789513006783173,13.569455201021592,0.065880079841727,0.6768282351873662,1.2108388377452581,0.10762627849981621,-0.10041841004183971,,,,
BMT-USD,0.007866192756317152,-0.20876758615580762,8.816328814252723,0.04116174812161477,0.7680587863253564,0.9180432529625007,0.1227551533956873,-0.083978558665874,,,,
BNB-USD,0.004846064607317536,-0.7508243284732329,8.30953182303487,0.02737407520819211,0.8160286960785613,0.6008951907600618,0.13319168378703192,0.014815911071645704,25.18692661455409,25.18692661455409,1.0,13.0
BONK-USD,0.009789762517338606,0.21863460741206434,8.378797498494002,0.05682497835987073,0.839449313306764,1.2487362868891032,0.1358658601234966,-3.3306690738754696e-16,,,,
BTC-USD,0.0048426757930947265,-0.686258865076016,9.790055638267201,0.029269871180479357,0.8419586364393071,0.6195555448656084,0.1374541878972969,0.01801078488656671,,,,
CAKE-USD,0.006240343802796913,-0.6205347391989562,7.165598185580613,0.03531515334858318,0.8102045510895675,0.7682583561907733,0.1319374931493618,0.016291698991468095,,,,
CFX-USD,0.008223709839523915,-0.21018555745698436,7.606153420559863,0.04542808387215498,0.8569315890894532,1.0708238320652388,0.138060363466282,0.01663201663201508,,,,
CRV-USD,0.008092522763115916,-0.1011869863152592,3.8803581501794624,0.04785436091764201,0.8228426677692695,1.0118236596578136,0.13336457521198186,0.0662139219015292,,,,
DOGE-USD,0.007299898128904984,-0.16513932232300865,7.609811489284361,0.04544962161446846,0.8796528594372034,0.975735745559485,0.14366547601007174,0.025738902824736565,,,,
DOT-USD,0.008318779559054893,-0.04501734846727091,6.868548196894871,0.04500481125930472,0.8685480502384374,1.097886798188524,0.14098092150129016,0.30763178599527974,,,,
EDEN-USD,0.010869654022829255,0.09305263435977809,9.199189005541658,0.05900266715290546,0.6060224661726122,1.0009411462995406,0.09427508477252054,0.044164037854890204,,,,
EIGEN-USD,0.009742760240992979,0.18011409429555256,6.187257915077694,0.05493082827205355,0.8644201594744396,1.279708336066566,0.13915898582357866,-0.07500000000000184,,,,
ENA-USD,0.008831577932756074,-0.09322542774356546,6.748173014940772,0.048254929045140546,0.8999549329350954,1.207711396710049,0.14521606655957137,-0.10413080895008664,,,,
ETH-USD,0.006426594919011194,-0.22657747414328352,9.717013504694549,0.03962306730240521,0.8644254798376148,0.8441363130508763,0.1413166757203938,0.020291465846768997,,,,
FET-USD,0.009214066517661443,-0.04346079259405186,8.680240394920972,0.0514284074143814,0.865145226066884,1.2112797476126889,0.1397520233562002,-0.00444444444444092,,,,
FIL-USD,0.009143370158284503,0.1267866711651978,9.016201383715563,0.05229142634353106,0.8168548610261526,1.1348939921823882,0.13193681884099454,0.11172566371681425,,,,
FLOKI-USD,0.008687798534445994,0.17711904354459126,6.823115861016724,0.04931145268026925,0.8856018489562557,1.1691018642071807,0.14329445642615307,-0.05876393110435485,,,,
FORM-USD,0.009641204957252122,-0.07739371577905511,8.839326645955607,0.055601948252901656,0.6917296253328611,1.0133787392670424,0.11028849053948755,-0.06627393225331268,,,,
HBAR-USD,0.0076068238677957515,0.1492575794305314,5.765808145418429,0.0427502897720156,0.8584871722572162,0.9922960620196651,0.13915423334275467,0.10387750605860457,,,,
HEMI-USD,0.01104546819424597,-0.056978651708165,9.299355137459052,0.05674100143320464,0.5756951876030669,0.9662306854518228,0.08978584829624914,-0.1808809746954062,,,,
ICP-USD,0.0101238450187802,0.09648863917267152,5.548420227554132,0.05895482914646244,0.7312522556590053,1.1249074784477822,0.11751565673225985,0.03518440016956337,,,,
LINEA-USD,0.011297841123595545,0.6849486447326141,15.723307606377,0.06123477178531509,0.663761193214705,1.1394923610363281,0.10486498030075804,-0.1260273972602728,,,,
LINK-USD,0.0067656515775232975,-0.3312016897957924,7.588795590415984,0.038595252257912854,0.918346114973252,0.9441046107542764,0.14985980695710455,0.0649819494584829,,,,
LISTA-USD,0.008994564482921458,-0.6864088752374612,19.195790659974104,0.046926084512953395,0.7597848482237084,1.038424354671342,0.12096211451723429,-0.0981856990394867,,,,
LTC-USD,0.0062825219398530505,-0.7269433431790202,8.165746191075439,0.03647253382778019,0.8757725300459613,0.8360445685887286,0.14189655263242093,0.038762650372349716,,,,
MIRA-USD,0.015531318375889527,12.927118918634317,370.37441314218887,0.06491033000888952,0.4372572227062623,1.0319280353377764,0.06546150931974545,-0.007891770011274724,,,,
