,symbol,n_neg_volume,n_zero_volume,n_rows
0,ADA-USD,0,0,2160
1,ATOM-USD,0,0,2160
2,BAT-USD,0,0,2160
3,BCH-USD,0,0,2160
4,BNB-USD,0,0,2160
5,BTC-USD,0,0,2160
6,DASH-USD,0,0,2160
7,DOGE-USD,0,0,2160
8,ETC-USD,0,0,2160
9,ETH-USD,0,0,2160
10,LINK-USD,0,0,2160
11,LTC-USD,0,0,2160
12,TRX-USD,0,0,2160
13,XRP-USD,0,0,2160
14,ZEC-USD,0,0,2160
15,ZRX-USD,0,0,2160
