symbol,mcap_log,fdv_log,fdv_to_mcap,n_categories
1000CHEEMS-USD,0.0,25.319831438539136,,2
AAVE-USD,21.252105277864803,21.304449426114537,1.053738322350155,26
ADA-USD,22.999812766665148,23.199883547952318,1.2214892137019582,9
BNB-USD,25.18692661455409,25.18692661455409,1.0,13
