symbol,mean_ret,vol,skew,kurt,p01,p99,tail_1pct,corr_to_mkt,beta_to_mkt,pc1_loading,pc1_abs_loading,mom_7d,mom_30d
S-USD,-0.0002786429082824541,0.009872385518904304,0.3043449388228873,7.823676875131797,-0.0269480737018426,0.030803544232439067,0.05775161793428167,0.7757443840914345,1.1637102073471002,0.12448493617589843,0.12448493617589843,0.0,-0.10324748040313547
SEI-USD,-0.00021256254119564794,0.006895918195473008,-0.2586460900314684,6.278123629968521,-0.02009750754394817,0.020150879260776206,0.040248386804724375,0.8825335701351363,0.9247565844997099,0.14310354449338888,0.14310354449338888,0.0,-0.07537012113054986
SHIB-USD,-9.601499907860002e-05,0.007457507003479375,0.9670167500999615,14.197042572161648,-0.01977298961138898,0.021728909907517115,0.041501899518906094,0.840899927463158,0.9528884920447752,0.13671949324160215,0.13671949324160215,0.0,-0.03826955074875493
SOL-USD,-0.00016262500302899324,0.007028442473860952,-0.4955850765017045,9.197194336375725,-0.022330509275938427,0.019020964691786386,0.04135147396772482,0.8690710736573642,0.928150679035219,0.14130059129135636,0.14130059129135636,0.0,0.08670445761401657
SOMI-USD,1.58386289205292e-05,0.015810966576927807,1.8324095007490258,39.72887543645233,-0.04448683978095751,0.04749114164722126,0.09197798142817877,0.41541705128330236,0.9980374466342125,0.061652788824693286,0.061652788824693286,0.0,0.11271367521367459
STO-USD,-0.00017538107305238075,0.01739660160081017,15.230250626278346,488.85843032396065,-0.03527619436385636,0.032105619851944475,0.06738181421580083,0.29508647540482946,0.7800416998515017,0.04277428517241803,0.04277428517241803,0.0,0.17580340264650363
SUI-USD,-0.0001893749666732289,0.008503710843074644,-0.2857026918254814,7.783145301358887,-0.02498132559040251,0.02594224098346566,0.05092356657386817,0.8980741500347519,1.1604455761569443,0.14571368933881257,0.14571368933881257,0.0,-0.009532157335378821
TAO-USD,-5.705423139318635e-05,0.009368874097631966,-0.050845894809879194,8.798563475531301,-0.02491603230027397,0.026178334414450364,0.05109436671472434,0.7734874652774938,1.1011456819102396,0.125144334034818,0.125144334034818,0.0,0.20778364116094994
TON-USD,-4.255145409249322e-05,0.006656032436885177,-0.04902918389445302,12.997140046253302,-0.018028556180874174,0.019165904288782794,0.037194460469656965,0.692866992676137,0.7007601540867813,0.11190581879444784,0.11190581879444784,0.0,-0.06966618287372706
TRUMP-USD,-0.00016506131232068172,0.00678910542752063,0.5853316410754377,27.387100117564593,-0.019553112514634628,0.0193899456045889,0.03894305811922352,0.7252486303492649,0.7481756459904673,0.11741462284820725,0.11741462284820725,0.0,0.0758044554455437
