,symbol,n_gaps,max_gap
0,ADA-USD,0.0,
1,ATOM-USD,0.0,
2,BAT-USD,0.0,
3,BCH-USD,0.0,
4,BNB-USD,0.0,
5,BTC-USD,0.0,
6,DASH-USD,0.0,
7,DOGE-USD,0.0,
8,ETC-USD,0.0,
9,ETH-USD,0.0,
10,LINK-USD,0.0,
11,LTC-USD,0.0,
12,TRX-USD,0.0,
13,XRP-USD,0.0,
14,ZEC-USD,0.0,
15,ZRX-USD,0.0,
