symbol,tech_cluster,tech_type,vol,tail_1pct,skew,kurt,corr_to_mkt,beta_to_mkt,pc1_abs_loading,mom_7d,mom_30d,top_corr_peers,proxy_peer,proxy_hedge_ratio,proxy_spread_stability,fund__mcap_log,fund__fdv_log,fund__fdv_to_mcap,fund__n_categories,fund_cluster,has_fundamentals,combined_type,combined_label
FLOKI-USD,0,"low-vol, thin-tail, high-beta, pos-mom",0.0086877985344459,0.0493114526802692,0.1771190435445912,6.823115861016724,0.8856018489562557,1.1691018642071809,0.143294456426153,0.0,-0.0587639311043548,BONK-USD:0.87;SHIB-USD:0.87;PENGU-USD:0.85,BONK-USD,1.0317265007479122,0.1398659398317039,,,,,,False,"low-vol, thin-tail, high-beta, pos-mom",T0
SUI-USD,0,"low-vol, thin-tail, high-beta, pos-mom",0.0085037108430746,0.0509235665738681,-0.2857026918254814,7.783145301358887,0.8980741500347519,1.1604455761569443,0.1457136893388125,0.0,-0.0095321573353788,ADA-USD:0.86;ONDO-USD:0.86;LINK-USD:0.85,ADA-USD,1.7008044654871348,0.2000884586014527,,,,,,False,"low-vol, thin-tail, high-beta, pos-mom",T0
ARB-USD,0,"low-vol, thin-tail, high-beta, pos-mom",0.0084528051858153,0.0464128306918293,-0.6913445621200627,8.47832850508174,0.9075333748694084,1.165648374143572,0.1465726201377507,0.0,-0.0936363636363624,LINK-USD:0.85;NEAR-USD:0.85;ENA-USD:0.85,LINK-USD,1.628125986919247,0.2020997184054914,,,,,,False,"low-vol, thin-tail, high-beta, pos-mom",T0
ONDO-USD,0,"low-vol, thin-tail, high-beta, pos-mom",0.0083242119498589,0.0468802463123455,-0.0926584577671527,6.479982162401013,0.9160638458451256,1.1587052374072666,0.1487319270354772,0.0,0.0536074163643707,LINK-USD:0.88;ADA-USD:0.88;SUI-USD:0.86,LINK-USD,1.0143968537243084,0.2254771822467721,,,,,,False,"low-vol, thin-tail, high-beta, pos-mom",T0
DOT-USD,0,"low-vol, thin-tail, high-beta, pos-mom",0.0083187795590548,0.0450048112593047,-0.0450173484672709,6.868548196894871,0.8685480502384374,1.097886798188524,0.1409809215012901,0.0,0.3076317859952797,NEAR-USD:0.84;ADA-USD:0.84;ARB-USD:0.84,NEAR-USD,0.8268410766641002,0.2787173334636851,,,,,,False,"low-vol, thin-tail, high-beta, pos-mom",T0
CFX-USD,0,"low-vol, thin-tail, high-beta, pos-mom",0.0082237098395239,0.0454280838721549,-0.2101855574569843,7.606153420559863,0.8569315890894532,1.0708238320652388,0.138060363466282,0.0,0.016632016632015,ARB-USD:0.80;LINK-USD:0.79;ONDO-USD:0.79,ARB-USD,0.613817241664789,0.2173863418508089,,,,,,False,"low-vol, thin-tail, high-beta, pos-mom",T0
NEAR-USD,0,"low-vol, thin-tail, high-beta, pos-mom",0.0081827378831373,0.0472226627034384,-0.1495396330397071,6.082502323415001,0.886218541012036,1.1019035156624166,0.1434447367460388,0.0,0.2285115303983247,ARB-USD:0.85;DOT-USD:0.84;ONDO-USD:0.84,ARB-USD,0.6031277158474736,0.3426941387548973,,,,,,False,"low-vol, thin-tail, high-beta, pos-mom",T0
CRV-USD,0,"low-vol, thin-tail, high-beta, pos-mom",0.0080925227631159,0.047854360917642,-0.1011869863152592,3.8803581501794624,0.8228426677692695,1.0118236596578136,0.1333645752119818,0.0,0.0662139219015292,LINK-USD:0.78;ONDO-USD:0.78;ADA-USD:0.77,LINK-USD,1.1938533518710346,0.1198593556195098,,,,,,False,"low-vol, thin-tail, high-beta, pos-mom",T0
AAVE-USD,0,"low-vol, thin-tail, high-beta, pos-mom",0.0079706002250118,0.0435231183535001,-0.582686643073934,9.485510721663331,0.8119337852369319,0.9833672429984012,0.1319233113157003,0.0,0.0084684684684697,LINK-USD:0.80;ETH-USD:0.77;ONDO-USD:0.77,LINK-USD,0.8901120592890248,0.2433371409263874,21.252105277864803,21.304449426114537,1.053738322350155,26.0,mcap_small,True,"low-vol, thin-tail, high-beta, pos-mom | fund:mcap_small",T0-Fmcap_small
BMT-USD,0,"low-vol, thin-tail, high-beta, pos-mom",0.0078661927563171,0.0411617481216147,-0.2087675861558076,8.816328814252723,0.7680587863253564,0.9180432529625008,0.1227551533956873,0.0,-0.083978558665874,ARB-USD:0.70;LINK-USD:0.70;ONDO-USD:0.69,ARB-USD,0.6407983653736686,0.1265148525218958,,,,,,False,"low-vol, thin-tail, high-beta, pos-mom",T0
HBAR-USD,0,"low-vol, thin-tail, high-beta, pos-mom",0.0076068238677957,0.0427502897720156,0.1492575794305314,5.765808145418429,0.8584871722572162,0.9922960620196652,0.1391542333427546,0.0,0.1038775060586045,ONDO-USD:0.83;ADA-USD:0.83;XLM-USD:0.82,ONDO-USD,0.4669377993344864,0.3984028421669256,,,,,,False,"low-vol, thin-tail, high-beta, pos-mom",T0
ADA-USD,0,"low-vol, thin-tail, high-beta, pos-mom",0.0075652809182237,0.0441587205302483,-0.1061154214730572,6.486963651693934,0.9125550293121708,1.0490307510791057,0.1487013537101086,0.0,0.0737485670615221,LINK-USD:0.89;DOGE-USD:0.88;ONDO-USD:0.88,LINK-USD,0.816026231718809,0.1370412139807746,22.999812766665148,23.19988354795232,1.2214892137019582,9.0,mcap_mid,True,"low-vol, thin-tail, high-beta, pos-mom | fund:mcap_mid",T0-Fmcap_mid
SHIB-USD,0,"low-vol, thin-tail, high-beta, pos-mom",0.0074575070034793,0.041501899518906,0.9670167500999616,14.197042572161648,0.840899927463158,0.9528884920447752,0.1367194932416021,0.0,-0.0382695507487549,FLOKI-USD:0.87;DOGE-USD:0.82;ADA-USD:0.82,FLOKI-USD,0.6231090058260089,0.1367624566019004,,,,,,False,"low-vol, thin-tail, high-beta, pos-mom",T0
DOGE-USD,0,"low-vol, thin-tail, high-beta, pos-mom",0.0072998981289049,0.0454496216144684,-0.1651393223230086,7.609811489284361,0.8796528594372034,0.975735745559485,0.1436654760100717,0.0,0.0257389028247365,ADA-USD:0.88;LINK-USD:0.86;ONDO-USD:0.84,ADA-USD,1.051430699872765,0.1725586110852074,,,,,,False,"low-vol, thin-tail, high-beta, pos-mom",T0
XRP-USD,0,"low-vol, thin-tail, high-beta, pos-mom",0.0070759786029172,0.0420765743985296,0.3822235356779739,9.401502340449644,0.8231910703554466,0.8850977950522658,0.1344985895231391,0.0,0.0084267604601753,XLM-USD:0.84;ADA-USD:0.82;LINK-USD:0.81,XLM-USD,1.090032248463436,0.132746883093338,,,,,,False,"low-vol, thin-tail, high-beta, pos-mom",T0
SOL-USD,0,"low-vol, thin-tail, high-beta, pos-mom",0.0070284424738609,0.0413514739677248,-0.4955850765017045,9.197194336375723,0.8690710736573642,0.928150679035219,0.1413005912913563,0.0,0.0867044576140165,LINK-USD:0.87;ETH-USD:0.85;BTC-USD:0.85,LINK-USD,1.1546609900648743,0.1310404938593855,,,,,,False,"low-vol, thin-tail, high-beta, pos-mom",T0
SEI-USD,0,"low-vol, thin-tail, high-beta, pos-mom",0.006895918195473,0.0402483868047243,-0.2586460900314684,6.278123629968521,0.8825335701351363,0.92475658449971,0.1431035444933888,0.0,-0.0753701211305498,ONDO-USD:0.84;ADA-USD:0.84;LINK-USD:0.83,ONDO-USD,1.1712285548620118,0.257743208610857,,,,,,False,"low-vol, thin-tail, high-beta, pos-mom",T0
AVAX-USD,0,"low-vol, thin-tail, high-beta, pos-mom",0.0068946194511715,0.039732523552342,-0.2718666794735432,9.471031684501291,0.8818670680915389,0.9238841623208582,0.1435310990191899,0.0,0.0444697833523348,LINK-USD:0.87;ADA-USD:0.85;ONDO-USD:0.83,LINK-USD,0.9553975717421694,0.1166023633198341,,,,,,False,"low-vol, thin-tail, high-beta, pos-mom",T0
XLM-USD,0,"low-vol, thin-tail, high-beta, pos-mom",0.0068561731615577,0.0402475799027733,-0.1191642822118066,5.669383654804141,0.8694115967343484,0.9057561752339166,0.141556964344189,0.0,0.0166240409207163,ADA-USD:0.85;XRP-USD:0.84;LINK-USD:0.84,ADA-USD,1.0103385178996134,0.1538632002349928,,,,,,False,"low-vol, thin-tail, high-beta, pos-mom",T0
TRUMP-USD,0,"low-vol, thin-tail, high-beta, pos-mom",0.0067891054275206,0.0389430581192235,0.5853316410754377,27.387100117564593,0.7252486303492649,0.7481756459904673,0.1174146228482072,0.0,0.0758044554455437,FLOKI-USD:0.69;LINK-USD:0.67;ONDO-USD:0.67,FLOKI-USD,0.8001878527942631,0.300580208856145,,,,,,False,"low-vol, thin-tail, high-beta, pos-mom",T0
LINK-USD,0,"low-vol, thin-tail, high-beta, pos-mom",0.0067656515775232,0.0385952522579128,-0.3312016897957924,7.588795590415984,0.918346114973252,0.9441046107542764,0.1498598069571045,0.0,0.0649819494584829,ETH-USD:0.91;ADA-USD:0.89;ONDO-USD:0.88,ETH-USD,0.8676564861761733,0.1317548049663297,,,,,,False,"low-vol, thin-tail, high-beta, pos-mom",T0
ETH-USD,0,"low-vol, thin-tail, high-beta, pos-mom",0.0064265949190111,0.0396230673024052,-0.2265774741432835,9.717013504694547,0.8644254798376148,0.8441363130508763,0.1413166757203938,0.0,0.0202914658467689,LINK-USD:0.91;BTC-USD:0.89;SOL-USD:0.85,LINK-USD,1.1325227057296274,0.1317548049664171,,,,,,False,"low-vol, thin-tail, high-beta, pos-mom",T0
