symbol,mcap_log,fdv_log,fdv_to_mcap,n_categories
1000CHEEMS-USD,0.0,25.323827570089176,,2
AAVE-USD,21.255189430454898,21.30753357880593,1.0537383224568,26
ADA-USD,23.002752704449197,23.202642446291183,1.221268095988444,9
