2026-03-20 18:29:54 | INFO     | Bot                  | [DOGE/USD] Warming up — 4/21 bars collected, holding.
2026-03-20 18:29:54 | INFO     | Bot                  | [LINK/USD] Warming up — 4/21 bars collected, holding.
2026-03-20 18:29:54 | INFO     | Bot                  | [AVAX/USD] Warming up — 4/21 bars collected, holding.
2026-03-20 18:29:54 | INFO     | Bot                  | [SUI/USD] Warming up — 4/21 bars collected, holding.
2026-03-20 18:29:54 | INFO     | Bot                  | Cycle 4 done in 0.2s — next poll in 9.8s.
2026-03-20 18:30:04 | INFO     | Bot                  | ─── Cycle 5 ───
2026-03-20 18:30:04 | INFO     | Bot                  | [BTC/USD] Warming up — 5/21 bars collected, holding.
2026-03-20 18:30:04 | INFO     | Bot                  | [ETH/USD] Warming up — 5/21 bars collected, holding.
2026-03-20 18:30:04 | INFO     | Bot                  | [SOL/USD] Warming up — 5/21 bars collected, holding.
2026-03-20 18:30:04 | INFO     | Bot                  | [BNB/USD] Warming up — 5/21 bars collected, holding.
2026-03-20 18:30:04 | INFO     | Bot                  | [XRP/USD] Warming up — 5/21 bars collected, holding.
2026-03-20 18:30:04 | INFO     | Bot                  | [ADA/USD] Warming up — 5/21 bars collected, holding.
2026-03-20 18:30:04 | INFO     | Bot                  | [DOGE/USD] Warming up — 5/21 bars collected, holding.
2026-03-20 18:30:04 | INFO     | Bot                  | [LINK/USD] Warming up — 5/21 bars collected, holding.
2026-03-20 18:30:04 | INFO     | Bot                  | [AVAX/USD] Warming up — 5/21 bars collected, holding.
2026-03-20 18:30:04 | INFO     | Bot                  | [SUI/USD] Warming up — 5/21 bars collected, holding.
2026-03-20 18:30:04 | INFO     | Bot                  | Cycle 5 done in 0.2s — next poll in 9.8s.
2026-03-20 18:30:14 | INFO     | Bot                  | ─── Cycle 6 ───
2026-03-20 18:30:14 | INFO     | Bot                  | [BTC/USD] Warming up — 6/21 bars collected, holding.
2026-03-20 18:30:14 | INFO     | Bot                  | [ETH/USD] Warming up — 6/21 bars collected, holding.
2026-03-20 18:30:14 | INFO     | Bot                  | [SOL/USD] Warming up — 6/21 bars collected, holding.
2026-03-20 18:30:14 | INFO     | Bot                  | [BNB/USD] Warming up — 6/21 bars collected, holding.
2026-03-20 18:30:14 | INFO     | Bot                  | [XRP/USD] Warming up — 6/21 bars collected, holding.
2026-03-20 18:30:14 | INFO     | Bot                  | [ADA/USD] Warming up — 6/21 bars collected, holding.
2026-03-20 18:30:14 | INFO     | Bot                  | [DOGE/USD] Warming up — 6/21 bars collected, holding.
2026-03-20 18:30:14 | INFO     | Bot                  | [LINK/USD] Warming up — 6/21 bars collected, holding.
2026-03-20 18:30:14 | INFO     | Bot                  | [AVAX/USD] Warming up — 6/21 bars collected, holding.
2026-03-20 18:30:14 | INFO     | Bot                  | [SUI/USD] Warming up — 6/21 bars collected, holding.
2026-03-20 18:30:14 | INFO     | Bot                  | Cycle 6 done in 0.2s — next poll in 9.8s.
2026-03-20 18:30:24 | INFO     | Bot                  | ─── Cycle 7 ───
2026-03-20 18:30:24 | INFO     | Bot                  | [BTC/USD] Warming up — 7/21 bars collected, holding.
2026-03-20 18:30:24 | INFO     | Bot                  | [ETH/USD] Warming up — 7/21 bars collected, holding.
2026-03-20 18:30:24 | INFO     | Bot                  | [SOL/USD] Warming up — 7/21 bars collected, holding.
2026-03-20 18:30:24 | INFO     | Bot                  | [BNB/USD] Warming up — 7/21 bars collected, holding.
2026-03-20 18:30:24 | INFO     | Bot                  | [XRP/USD] Warming up — 7/21 bars collected, holding.
2026-03-20 18:30:24 | INFO     | Bot                  | [ADA/USD] Warming up — 7/21 bars collected, holding.
2026-03-20 18:30:24 | INFO     | Bot                  | [DOGE/USD] Warming up — 7/21 bars collected, holding.
2026-03-20 18:30:24 | INFO     | Bot                  | [LINK/USD] Warming up — 7/21 bars collected, holding.
2026-03-20 18:30:24 | INFO     | Bot                  | [AVAX/USD] Warming up — 7/21 bars collected, holding.
2026-03-20 18:30:24 | INFO     | Bot                  | [SUI/USD] Warming up — 7/21 bars collected, holding.
2026-03-20 18:30:24 | INFO     | Bot                  | Cycle 7 done in 0.2s — next poll in 9.8s.
2026-03-20 18:30:34 | INFO     | Bot                  | ─── Cycle 8 ───
2026-03-20 18:30:34 | INFO     | Bot                  | [BTC/USD] Warming up — 8/21 bars collected, holding.
2026-03-20 18:30:34 | INFO     | Bot                  | [ETH/USD] Warming up — 8/21 bars collected, holding.
2026-03-20 18:30:34 | INFO     | Bot                  | [SOL/USD] Warming up — 8/21 bars collected, holding.
2026-03-20 18:30:34 | INFO     | Bot                  | [BNB/USD] Warming up — 8/21 bars collected, holding.
2026-03-20 18:30:34 | INFO     | Bot                  | [XRP/USD] Warming up — 8/21 bars collected, holding.
2026-03-20 18:30:34 | INFO     | Bot                  | [ADA/USD] Warming up — 8/21 bars collected, holding.
2026-03-20 18:30:34 | INFO     | Bot                  | [DOGE/USD] Warming up — 8/21 bars collected, holding.
2026-03-20 18:30:34 | INFO     | Bot                  | [LINK/USD] Warming up — 8/21 bars collected, holding.
2026-03-20 18:30:34 | INFO     | Bot                  | [AVAX/USD] Warming up — 8/21 bars collected, holding.
2026-03-20 18:30:34 | INFO     | Bot                  | [SUI/USD] Warming up — 8/21 bars collected, holding.
2026-03-20 18:30:34 | INFO     | Bot                  | Cycle 8 done in 0.2s — next poll in 9.8s.
2026-03-20 18:30:44 | INFO     | Bot                  | ─── Cycle 9 ───
2026-03-20 18:30:44 | INFO     | Bot                  | [BTC/USD] Warming up — 9/21 bars collected, holding.
2026-03-20 18:30:44 | INFO     | Bot                  | [ETH/USD] Warming up — 9/21 bars collected, holding.
2026-03-20 18:30:44 | INFO     | Bot                  | [SOL/USD] Warming up — 9/21 bars collected, holding.
2026-03-20 18:30:44 | INFO     | Bot                  | [BNB/USD] Warming up — 9/21 bars collected, holding.
2026-03-20 18:30:44 | INFO     | Bot                  | [XRP/USD] Warming up — 9/21 bars collected, holding.
2026-03-20 18:30:44 | INFO     | Bot                  | [ADA/USD] Warming up — 9/21 bars collected, holding.
2026-03-20 18:30:44 | INFO     | Bot                  | [DOGE/USD] Warming up — 9/21 bars collected, holding.
2026-03-20 18:30:44 | INFO     | Bot                  | [LINK/USD] Warming up — 9/21 bars collected, holding.
2026-03-20 18:30:44 | INFO     | Bot                  | [AVAX/USD] Warming up — 9/21 bars collected, holding.
2026-03-20 18:30:44 | INFO     | Bot                  | [SUI/USD] Warming up — 9/21 bars collected, holding.
2026-03-20 18:30:44 | INFO     | Bot                  | Cycle 9 done in 0.2s — next poll in 9.8s.
2026-03-20 18:30:54 | INFO     | Bot                  | ─── Cycle 10 ───
2026-03-20 18:30:54 | INFO     | Bot                  | [BTC/USD] Warming up — 10/21 bars collected, holding.
2026-03-20 18:30:54 | INFO     | Bot                  | [ETH/USD] Warming up — 10/21 bars collected, holding.
2026-03-20 18:30:54 | INFO     | Bot                  | [SOL/USD] Warming up — 10/21 bars collected, holding.
2026-03-20 18:30:54 | INFO     | Bot                  | [BNB/USD] Warming up — 10/21 bars collected, holding.
2026-03-20 18:30:54 | INFO     | Bot                  | [XRP/USD] Warming up — 10/21 bars collected, holding.
2026-03-20 18:30:54 | INFO     | Bot                  | [ADA/USD] Warming up — 10/21 bars collected, holding.
2026-03-20 18:30:54 | INFO     | Bot                  | [DOGE/USD] Warming up — 10/21 bars collected, holding.
2026-03-20 18:30:54 | INFO     | Bot                  | [LINK/USD] Warming up — 10/21 bars collected, holding.
2026-03-20 18:30:54 | INFO     | Bot                  | [AVAX/USD] Warming up — 10/21 bars collected, holding.
2026-03-20 18:30:54 | INFO     | Bot                  | [SUI/USD] Warming up — 10/21 bars collected, holding.
2026-03-20 18:30:54 | INFO     | RoostooClient        | Requesting account balance...
2026-03-20 18:30:55 | INFO     | Bot                  | [PORTFOLIO] Total=$49891.05 | Cash=$42930.03 | Positions=['ADA', 'AVAX', 'BNB', 'DOGE', 'LINK', 'SUI', 'XRP']
2026-03-20 18:30:55 | INFO     | Bot                  | Cycle 10 done in 0.4s — next poll in 9.6s.
2026-03-20 18:31:04 | INFO     | Bot                  | ─── Cycle 11 ───
2026-03-20 18:31:04 | INFO     | Bot                  | [BTC/USD] Warming up — 11/21 bars collected, holding.
2026-03-20 18:31:04 | INFO     | Bot                  | [ETH/USD] Warming up — 11/21 bars collected, holding.
2026-03-20 18:31:04 | INFO     | Bot                  | [SOL/USD] Warming up — 11/21 bars collected, holding.
2026-03-20 18:31:04 | INFO     | Bot                  | [BNB/USD] Warming up — 11/21 bars collected, holding.
2026-03-20 18:31:04 | INFO     | Bot                  | [XRP/USD] Warming up — 11/21 bars collected, holding.
2026-03-20 18:31:04 | INFO     | Bot                  | [ADA/USD] Warming up — 11/21 bars collected, holding.
2026-03-20 18:31:04 | INFO     | Bot                  | [DOGE/USD] Warming up — 11/21 bars collected, holding.
2026-03-20 18:31:04 | INFO     | Bot                  | [LINK/USD] Warming up — 11/21 bars collected, holding.
2026-03-20 18:31:04 | INFO     | Bot                  | [AVAX/USD] Warming up — 11/21 bars collected, holding.
